Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites,Description
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,11,Finished Airing,2016-7-14,2016-9-22,Summer,Thursdays at 23:30 (JST),-,Funimation,Lerche,Game,"Action,Mystery,Horror,Psychological,School",23 min. per ep.,R,7.78,58727,119125,1906,"Hope's Peak Academy's unconventional class 77-B is about to have an even more eccentric addition: Chisa Yukizome, an alumna with the title of Super High School-Level Housekeeper—and their new homeroom teacher. Cheerful, passionate, and capable, Chisa immediately sets about correcting the students' problematic behavior and strengthening their relationships. It may not be easy dealing with diverse pupils ranging from princesses and nurses to yakuza and impossibly lucky students, but anything is possible with the power of hope.

Meanwhile, Hajime Hinata, an unremarkable boy from the school's Reserve Course, longs for a talent. One day, he has an unexpected meeting with class 77-B's Super High School-Level Gamer Chiaki Nanami, who presents to him a new, hope-filled outlook on life. However, unbeknownst to him, the school's upper echelon is about to execute a sinister project centered around Hajime that will bring Hope's Peak—and the rest of the world—to its knees.

Zetsubou-hen chronicles the daily lives carried out at the talent-cultivating academy, and the darkness that lurks beneath. As despair slowly infects hope, plans are put into motion to start the Biggest, Most Awful, Most Tragic Event in Human History, and the end begins.

[Written by MAL Rewrite]"
Dragon Ball Super,TV,131,Finished Airing,2015-7-5,2018-3-25,Summer,Sundays at 09:00 (JST),"Yomiko Advertising,Fuji TV",Funimation,Toei Animation,Manga,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",23 min. per ep.,PG-13,7.78,95807,242036,4188,"Seven years after the events of Dragon Ball Z, Earth is at peace, and its people live free from any dangers lurking in the universe. However, this peace is short-lived; a sleeping evil awakens in the dark reaches of the galaxy: Beerus, the ruthless God of Destruction.

Disturbed by a prophecy that he will be defeated by a ""Super Saiyan God,"" Beerus and his angelic attendant Whis start searching the universe for this mysterious being. Before long, they reach Earth where they encounter Gokuu Son, one of the planet's mightiest warriors, and his similarly powerful friends.

[Written by MAL Rewrite]"
Flip Flappers,TV,13,Finished Airing,2016-10-6,2016-12-29,Fall,Thursdays at 21:00 (JST),"Sotsu,Lantis,AT-X,GAGA,Happinet Pictures,BS Fuji,Tokyo MX,Hakuhodo DY Music & Pictures,Medicos Entertainment,Infinite,RAY",Sentai Filmworks,Studio 3Hz,Original,"Sci-Fi,Adventure,Comedy,Magic",23 min. per ep.,PG-13,7.78,38800,103603,1344,"Cocona is an average middle schooler living with her grandmother. And she who has yet to decide a goal to strive for, soon met a strange girl named Papika who invites her to an organization called Flip Flap.

Dragged along by the energetic stranger, Cocona finds herself in the world of Pure Illusion—a bizarre alternate dimension—helping Papika look for crystal shards. Upon completing their mission, Papika and Cocona are sent to yet another world in Pure Illusion. As a dangerous creature besets them, the girls use their crystals to transform into magical girls: Cocona into Pure Blade, and Papika into Pure Barrier. But as they try to defeat the creature before them, three others with powers from a rival organization enter the fray and slay the creature, taking with them a fragment left behind from its body. Afterward, the girls realize that to stand a chance against their rivals and the creatures in Pure Illusion, they must learn to work together and synchronize their feelings in order to transform more effectively.

[Written by MAL Rewrite]"
Hakkenden: Touhou Hakken Ibun 2nd Season,TV,13,Finished Airing,2013-7-7,2013-9-29,Summer,-,"Bandai Visual,Frontier Works,Lantis,Movic,DAX Production,Sony PCL",Sentai Filmworks,Studio Deen,Manga,"Action,Demons,Supernatural,Fantasy,Shoujo",24 min. per ep.,PG-13,7.78,19683,41051,171,Second season of Hakkenden: Touhou Hakken Ibun.
Hello! Lady Lynn,TV,36,Finished Airing,1988-5-12,1989-1-26,Spring,-,-,-,Toei Animation,Manga,Drama,20 min. per ep.,G,7.78,996,2211,25,"This is the second series of Lady Lady. Every year at Lynn's school, an honorable “Lady Quest” is given to the most sophisticated lady. Lynn strives to receive this honor.

(Source: Toei Animation)"
K: Return of Kings,TV,13,Finished Airing,2015-10-3,2015-12-26,Fall,Saturdays at 01:55 (JST),"Starchild Records,Mainichi Broadcasting System,Studio Tulip,Glovision",Viz Media,GoHands,Original,"Action,Super Power,Supernatural",24 min. per ep.,PG-13,7.78,75603,166838,928,"Tensions are running high among the clans as the Green King begins making moves that threaten to drive the world into pandemonium. Following the death of the Gold King, the safety of the Dresden Slate, the source of power of the Kings, is under threat. Nagare Hisui, the sly and mysterious leader of the Green Clan Jungle, is determined to procure the powerful Slate by any means possible.

Standing directly in his way is Sceptre 4, the Blue Clan, headed by their unyielding King, Reisi Munakata. However, the grim sight of his crumbling Sword of Damocles leaves the stability of his clan and all of Japan in jeopardy. Meanwhile, still recovering from their tragic losses, Anna Kushina and her aggressive clan HOMRA find themselves caught up in the Green King’s games. Amidst the chaos, Kurou Yatogami and Neko are left vulnerable while their beloved friend, Yashiro Isana, the Silver King, remains missing.  

K: Return of Kings tells the struggle of the remaining clans against the Green King’s formidable forces as one final king appears.

[Written by MAL Rewrite]"
Kindaichi Shounen no Jikenbo Returns 2nd Season,TV,22,Finished Airing,2015-10-3,2016-3-26,Fall,Saturdays at 17:30 (JST),Yomiuri Telecasting,-,Toei Animation,Manga,"Mystery,Shounen",24 min. per ep.,R,7.78,2163,5439,28,"Hajime Kindaichi once again becomes embroiled in solving baffling cases and deciphering puzzling crimes that would confound the most seasoned of detectives. Whether it's a gruesome murder and shady circumstances surrounding the Japanese board game Go; a perplexing and macabre case involving a mysterious character, ""Rosenkreutz,"" and blue roses; or blood curdling crimes associated with an urban legend at a winter ski resort – Hajime is out to crack them all!

(Source: YTV)"
Ojamajo Doremi Na-i-sho,OVA,13,Finished Airing,2004-6-26,2004-12-11,-,-,-,-,Toei Animation,-,"Comedy,Fantasy,Magic,Shoujo",25 min. per ep.,G,7.78,2114,4899,47,"Na-i-sho is a 13 episode OAV series detailing the summer between the ~motto~ and the Dokkaan season. It is a bit more mature than the TV seasons, and looks to develop each of the five witches romantically. Hana is back to a baby, and the mahou shop is a bakery. 

(Source: ANN)"
Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,Finished Airing,2017-3-11,-,-,-,-,-,Madhouse,Light novel,"Action,Game,Supernatural,Magic,Fantasy",1 hr. 33 min.,R,7.79,5175,24639,69,Second Overlord recap film.
Sentou Mecha Xabungle,TV,50,Finished Airing,1982-2-6,1983-1-29,Winter,Saturdays at Unknown,Sotsu,-,Sunrise,Original,"Military,Sci-Fi,Mecha,Shounen",24 min. per ep.,PG-13,7.78,528,2233,22,"On the planet Zora exist two societies: the Innocent, an advanced culture that lives in domed cities, and the Civilians, who are forced to live in the harsh desert wilderness. As dictated by the Innocent, any Civilian that commits a crime is forgiven if they are not brought to justice within three days.

Civilian Jiron Amos seeks revenge on the villainous outlaw Timp Sharon who murdered his parents, despite the fact the three-day period has long since passed. Hoping to get his revenge by stealing the mecha Xabungle from the merchant Carrying Cargo, Jiron teams up with a group of bandits known as the Sandrats and kidnaps Cargo's daughter Elchi, who ends up being sympathetic to his cause. Jiron's quest for revenge soon grows into a conflict much bigger—one that will eventually see the Civilians rise up against the Innocents' rule.

[Written by MAL Rewrite]"
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,OVA,4,Finished Airing,2009-5-26,2009-9-25,-,-,"Production I.G,Nihon Ad Systems",-,M.S.C,-,"Comedy,Sports,School,Shounen",24 min. per ep.,PG-13,7.78,5052,10877,34,"A new Prince of Tennis OVA, called Prince of Tennis OVA Another Story ~Kako to Mirai no Message~, was announced at Shueisha's Jump Festa 09 this past weekend. The official website of the show has confirmed it yesterday. According to the latest issue of Weekly Shonen Jump magazine, Another Story will take place in Osaka after the finals. The preview of the new OVA will be available on the third volume of Prince of Tennis: The National Tournament Finals."
Another,TV,12,Finished Airing,2012-1-10,2012-3-27,Winter,-,"Lantis,Kadokawa Shoten,Toho,KlockWorx,Bandai Namco Live Creative,NTT Docomo",Sentai Filmworks,P.A. Works,Novel,"Mystery,Horror,Supernatural,Thriller,School",24 min. per ep.,R,7.77,463082,757905,11320,"In 1972, a popular student in Yomiyama North Middle School's class 3-3 named Misaki passed away during the school year. Since then, the town of Yomiyama has been shrouded by a fearful atmosphere, from the dark secrets hidden deep within.

Twenty-six years later, 15-year-old Kouichi Sakakibara transfers into class 3-3 of Yomiyama North and soon after discovers that a strange, gloomy mood seems to hang over all the students. He also finds himself drawn to the mysterious, eyepatch-wearing student Mei Misaki; however, the rest of the class and the teachers seem to treat her like she doesn't exist. Paying no heed to warnings from everyone including Mei herself, Kouichi begins to get closer not only to her, but also to the truth behind the gruesome phenomenon plaguing class 3-3 of Yomiyama North.

Another follows Kouichi, Mei, and their classmates as they are pulled into the enigma surrounding a series of inevitable, tragic events—but unraveling the horror of Yomiyama may just cost them the ultimate price.

[Written by MAL Rewrite]"
Baka to Test to Shoukanjuu,TV,13,Finished Airing,2010-1-7,2010-4-1,Winter,Thursdays at 02:20 (JST),"Lantis,Media Factory,Cospa,T.O Entertainment",Funimation,Silver Link.,Light novel,"Comedy,Romance,School,Super Power",24 min. per ep.,PG-13,7.77,217096,383768,4919,"The story centers around Akihisa Yoshii, the ""baka"" of the title. His academy rigidly divides up the student body into classes based on the results of tests. The prodigies are in the A class with reclining seats complete with air conditioning, but Akihisa is in F class, the lowest rung of the school ladder which is furnished only with low, decrepit tables and worn-out straw tatami mats. A girl named Mizuki Himeji is actually one of the smartest girls in Akihisa's sophomore year, but she had a fever on test day and was pigeonholed into the F class. Besides Mizuki (who Akihisa secretly adores), the F class also has Yuuji Sakamoto, the class president who has been Akihisa's friend and partner-in-crime since the freshman year.

The school happens to have developed experiments to summon fantasy creatures, and Akihisa decides to rally F class to take on the higher-tiered classes and seize their perks. The F class uses the summoned creatures in an all-out battle for school supremacy."
Bounen no Xamdou,ONA,26,Finished Airing,2008-7-15,2009-2-4,-,-,"Aniplex,Half H.P Studio",Sentai Filmworks,Bones,Original,"Action,Military,Sci-Fi",24 min. per ep.,PG-13,7.77,43166,94492,916,"Sentan Island is a small island surrounded by the Yuden Sea. It exists in a state of dreamlike tranquility, cut off from the war between the Northern Government and the Southern Continent Free Zone. Our hero, Akiyuki Takehara, lives on Sentain Island along with his mother Fusa. He is currently separated from his father, the town doctor Ryuzo, but the bond between father and son remains. One day, after taking Ryuzo the lunch that Fusa has made for him as usual, Akiyuki arrives at school, where he is caught up in an explosion along with his friends, Haru and Furuichi. The explosion produces a mysterious light, which enters Akiyuki's arm, causing him excruciating pain. He's given no time to understand it, however, as the white-haired girl who rode on the bus with him guides him to a power unlike anything he's ever known."
Detective Conan Movie 09: Promo Special,Special,1,Finished Airing,-,-,-,-,-,-,TMS Entertainment,-,"Adventure,Police,Comedy,Mystery,Shounen",23 min.,PG-13,7.77,2140,5488,3,A promotional preview summary of the events in Detective Conan Movie 09: Strategy Above the Depths. Aired before the movie.
Eikoku Koi Monogatari Emma,TV,12,Finished Airing,2005-4-3,2005-6-19,Spring,-,"Pony Canyon,TBS,Toshiba Entertainment,Fuji Creative",Nozomi Entertainment,Studio Pierrot,Manga,"Slice of Life,Historical,Drama,Romance,Seinen",25 min. per ep.,G,7.77,10184,30630,219,"In 19th-century London, class lines are sharply drawn, and the social standing to which people are born dictates the path their lives will follow. Emma, an honest and hardworking young maid, never felt her place in life to be a burden. But then she met William, a member of the gentry and the eldest son of a wealthy family. His warm smile and earnest affection threaten to capture her heart... but can love truly conquer all?

(Source: RightStuf)"
